index,noStabilization,bruteStabilization,markovStabilization
0,(0.07215034568069223-0.07212747292965521j),-0.009084858408046707,-0.004826550474483918
1,(-0.19514576251143573+0j),-0.019185221932495205,-0.014420709919635476
2,(-0.014960249546492858+0j),-2.839098147234641,-2.164145266206946
3,(-0.0029183780100691995+0j),-0.308540410990538,-0.18548249332378083
4,(-0.06426468714805901+0j),-1.0744990646959571,-1.665988922795673
10,-7.542696803184933e-06,-1.115919918167125,-1.24687447442379
11,(-0.4842269592584578+0j),-0.6357185638991443,-0.5609378575901237
20,(-0.126129412987716+0j),-1.0499818645593486,-1.1067822916033474
50,(-0.2244832117346856-0.19049298665512668j),-0.010424951296703839,-0.00017039213701975782
55,(-0.7172885230463169+0j),-0.5894918436663896,-0.510550320015516
